Rank,School_x,Conference_x,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State_x,HomeTeams,Year,School_y,Conference_y,Sport,State_y,GSR,FGR,SchoolG
57,Buffalo,MAC,Lance Leipold,455500,1147,5,63,31,32,0,0.492,Buffalo,New Era Field,73079,Orchard Park,New York,Buffalo Bills,1998,"University at Buffalo, the State University of New York",Mid-American Conference,Football,NY,76,64,Buffalo
58,Wake Forest,ACC,Dave Clawson,1831580,346,11,140,68,72,0,0.486,Wake Forest,BB&T Field,31500,Winston-Salem,North Carolina,Wake Forest Demon Deacons,1998,Wake Forest University,Atlantic Coast Conference,Football,NC,96,87,Wake Forest
59,Florida State,ACC,Willie Taggart,5000000,1908,10,118,56,62,0,0.475,Florida State,Bobby Bowden Field at Doak Campbell Stadium,79560,Tallahassee,Florida,Florida State Seminoles,1998,Florida State University,Atlantic Coast Conference,Football,FL,52,46,Florida State
60,Indiana,Big Ten,Tom Allen,1830000,20,4,38,18,20,0,0.474,Indiana,Lucas Oil Stadium,63000,Indianapolis,Indiana,"Indianapolis Colts, the Big Ten Championship Game, the Circle City Classic game",1998,Indiana State University,Missouri Valley Football Conference,Football,IN,78,62,Indiana
61,Wyoming,Mt. West,Craig Bohl,1412000,170,6,76,36,40,0,0.474,Wyoming,War Memorial Stadium,32580,Laramie,Wyoming,Wyoming Cowboys,1998,University of Wyoming,Mountain West Conference,Football,WY,79,46,Wyoming
62,Oregon,Pac-12,Mario Cristobal,2500000,421,9,102,48,54,0,0.471,Oregon,Autzen Stadium,54000,Eugene,Oregon,Oregon Ducks,1998,University of Oregon,Pac-12 Conference,Football,OR,63,66,Oregon
63,Texas Tech,Big 12,Kliff Kingsbury,3703975,1075,6,75,35,40,0,0.467,Texas Tech,Jones AT&T Stadium,60454,Lubbock,Texas,Texas Tech Red Raiders,1998,Texas Tech University,Big 12 Conference,Football,TX,73,65,Texas Tech
64,Colorado State,Mt. West,Mike Bobo,1800000,168,5,63,28,35,0,0.444,Colorado State,Empower Field at Mile High,76125,Denver,Colorado,Denver Broncos and the Rocky Mountain Showdown (Colorado vs. Colorado State) game,1998,Colorado State University,Mountain West Conference,Football,CO,59,52,Colorado State
65,New Mexico,Mt. West,Bob Davie,823740,469,13,159,70,89,0,0.44,New Mexico,Dreamstyle Stadium,39224,Albuquerque,New Mexico,New Mexico Lobos and the New Mexico Bowl game,1998,University of New Mexico,Mountain West Conference,Football,NM,47,44,New Mexico
66,Colorado,Pac-12,Mike MacIntyre,2878500,1203,9,111,46,65,0,0.414,Colorado,Folsom Field,50183,Boulder,Colorado,Colorado Buffaloes,1998,"University of Colorado, Boulder",Big 12 Conference,Football,CO,58,53,Colorado
67,Tulsa,AAC,Philip Montgomery,1518177,1370,5,62,25,37,0,0.403,Tulsa,Skelly Field at H. A. Chapman Stadium,30000,Tulsa,Oklahoma,Tulsa Golden Hurricane,1998,The University of Tulsa,Western Athletic Conference,Football,OK,62,45,Tulsa
