Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Richard Gallagher,1950,1952,Santa Clara,3,28,8,18,2,0.321,0,0,0,0,
James Gallety,1886,1886,Tufts,1,9,0,9,0,0,0,0,0,0,
Harry Gamage,1927,1933,Kentucky,7,62,32,25,5,0.556,0,0,0,0,
Harry Gamble,1971,1980,Pennsylvania,10,91,34,55,2,0.385,0,0,0,0,
J.A. Gammons,1902,1909,Brown,3,29,17,10,2,0.621,0,0,0,0,
Frank Gargan,1912,1913,Georgetown,2,17,12,5,0,0.706,0,0,0,0,
Howard Gargan,1909,1909,Fordham,1,8,5,1,2,0.75,0,0,0,0,
Hank Garrity,1923,1925,Wake Forest,3,27,19,7,1,0.722,0,0,0,0,
Floyd Gass,1969,1971,Oklahoma State,3,32,13,18,1,0.422,0,0,0,0,
George Gauthier,1918,1918,Michigan State,1,7,4,3,0,0.571,0,0,0,0,
Jeff Genyk,2004,2008,Eastern Michigan,5,58,16,42,0,0.276,0,0,0,0,
Ray George,1951,1953,Texas A&M,3,30,12,14,4,0.467,0,0,0,0,
Jason Gesser,2012,2012,Idaho,1,8,1,7,0,0.125,0,0,0,0,
David Gibbs,2014,2014,Houston,1,1,1,0,0,1,1,1,0,0,1
Gary Gibbs,1989,1994,Oklahoma,6,69,44,23,2,0.652,3,2,1,0,0.667
Bob Gibson,1965,1967,Bowling Green State,3,28,19,9,0,0.679,0,0,0,0,
Claude Gibson,1970,1972,Tulsa,3,27,11,16,0,0.407,0,0,0,0,
Vince Gibson,1967,1982,Tulane,16,175,73,100,2,0.423,2,0,2,0,0
Mike Giddings,1966,1967,Utah,2,21,9,12,0,0.429,0,0,0,0,
Warren Giese,1956,1960,South Carolina,5,50,28,21,1,0.57,0,0,0,0,
Claude Gilbert,1973,1989,San Jose State,14,158,99,56,3,0.636,2,1,1,0,0.5
Keith Gilbertson,1992,2004,Washington,6,69,27,42,0,0.391,1,1,0,0,1
Andrew Gill,1918,1919,Kentucky,2,11,5,5,1,0.5,0,0,0,0,
Turner Gill,2006,2018,Liberty,7,86,31,55,0,0.36,1,0,1,0,0
Van Gillam,1921,1921,Birmingham-Southern,1,9,4,4,1,0.5,0,0,0,0,
Jenks Gillem,1924,1941,Sewanee,3,24,8,15,1,0.354,0,0,0,0,
Sid Gillman,1954,1954,Cincinnati,1,10,8,2,0,0.8,0,0,0,0,
John Gilroy,1921,1921,Wofford,1,9,2,7,0,0.222,0,0,0,0,
Vernon Glass,1974,1975,Lamar,2,21,9,12,0,0.429,0,0,0,0,
William Glassford,1949,1955,Nebraska,7,69,30,35,4,0.464,1,0,1,0,0
Ralph Glaze,1910,1920,Colorado Mines,7,52,15,30,7,0.356,0,0,0,0,
Joe Glenn,2003,2008,Wyoming,6,71,30,41,0,0.423,1,1,0,0,1
Marshall Glenn,1937,1939,West Virginia,3,29,14,12,3,0.534,1,1,0,0,1
Frank Glick,1921,1921,Lehigh,1,8,4,4,0,0.5,0,0,0,0,
Ray Goff,1989,1995,Georgia,7,81,46,34,1,0.574,4,2,2,0,0.5
Al Golden,2006,2015,Miami (FL),10,118,59,59,0,0.5,3,0,3,0,0
Pop Golden,1900,1902,Penn State,3,29,16,12,1,0.569,0,0,0,0,
Fred Goldsmith,1989,1998,Duke,10,111,40,70,1,0.365,1,0,1,0,0
Alan Gooch,2003,2003,Central Florida,1,2,0,2,0,0,0,0,0,0,
Mose Goodman,1918,1918,Virginia Military Institute,1,4,1,3,0,0.25,0,0,0,0,
W.C. Gorden,1977,1977,Jackson State,1,11,8,3,0,0.727,0,0,0,0,
Tom Gorman,1942,1942,Washington (MO),1,10,5,5,0,0.5,0,0,0,0,
John Gorsuch,1920,1920,Wofford,1,9,0,8,1,0.056,0,0,0,0,
Frank Gorton,1914,1916,Virginia Military Institute,3,26,14,11,1,0.558,0,0,0,0,
Mike Gottfried,1981,1989,Pittsburgh,9,101,53,45,3,0.54,1,0,1,0,0
J. Goughler,1910,1910,Dickinson,1,10,3,7,0,0.3,0,0,0,0,
Doug Graber,1990,1995,Rutgers,6,66,29,36,1,0.447,0,0,0,0,
Dennis Grady,1913,1913,Northwestern,1,7,1,6,0,0.143,0,0,0,0,
Ralph Graham,1906,1950,Kansas State,7,65,23,38,4,0.385,1,0,1,0,0
Todd Graham,2006,2017,Arizona State,12,156,95,61,0,0.609,9,5,4,0,0.556
Everett Grandelius,1959,1961,Colorado,3,31,20,11,0,0.645,1,0,1,0,0
Ernest Graves,1906,1912,Army,2,9,6,3,0,0.667,0,0,0,0,
Harmon Graves,1893,1895,Army,3,22,15,7,0,0.682,0,0,0,0,
Ray Graves,1960,1969,Florida,10,105,70,31,4,0.686,5,4,1,0,0.8
Tubby Graves,1911,1918,Texas A&M,5,43,27,13,3,0.663,0,0,0,0,
Dennis Green,1981,1991,Stanford,8,89,26,63,0,0.292,1,0,1,0,0
Edward Green,1908,1908,North Carolina,1,9,3,3,3,0.5,0,0,0,0,
Jack Green,1963,1966,Vanderbilt,4,40,7,29,4,0.225,0,0,0,0,
Vee Green,1933,1946,Drake,13,127,62,57,8,0.52,1,1,0,0,1
Forrest Gregg,1989,1990,Southern Methodist,2,22,3,19,0,0.136,0,0,0,0,
Bob Gregory,2013,2013,Boise State,1,1,0,1,0,0,1,0,1,0,0
John Gregory,1967,1969,Villanova,3,29,16,13,0,0.552,0,0,0,0,
Tatum Gressette,1932,1939,Citadel,8,78,34,41,3,0.455,0,0,0,0,
Wooly Grey,1920,1922,Davidson,3,30,10,15,5,0.417,0,0,0,0,
Clarence Griffith,1902,1902,Colorado State,1,6,1,3,2,0.333,0,0,0,0,
John Griffith,1908,1915,Drake,8,64,36,25,3,0.586,0,0,0,0,
John Griffith,1909,1916,Oklahoma State,3,25,10,13,2,0.44,0,0,0,0,
Johnny Griffith,1961,1963,Georgia,3,30,10,16,4,0.4,0,0,0,0,
Jim Grobe,1995,2016,Baylor,20,239,117,121,1,0.492,6,4,2,0,0.667
Al Groh,1981,2009,Virginia,15,178,85,93,0,0.478,5,3,2,0,0.6
Arthur Guepe,1946,1962,Vanderbilt,17,166,86,71,9,0.545,1,1,0,0,1
Lance Guidry,2010,2012,Western Kentucky,2,2,1,1,0,0.5,2,1,1,0,0.5
Mike Gundy,2005,2019,Oklahoma State,15,193,129,64,0,0.668,14,9,5,0,0.643
Rich Gunnell,2019,2019,Boston College,1,1,0,1,0,0,1,0,1,0,0
Andy Gustafson,1926,1963,Miami (FL),20,197,115,78,4,0.594,4,1,3,0,0.25
John Gutekunst,1985,1991,Minnesota,7,68,29,37,2,0.441,2,1,1,0,0.5
Brent Guy,2005,2008,Utah State,4,47,9,38,0,0.191,0,0,0,0,
L. Gwinn,1902,1902,Mississippi State,1,6,1,4,1,0.25,0,0,0,0,
Paul Hackett,1989,2000,Southern California,7,71,32,38,1,0.458,2,1,1,0,0.5
T.D. Hackney,1919,1919,Texas Christian,1,8,1,7,0,0.125,0,0,0,0,
Bo Hagan,1967,1970,Rice,4,40,12,27,1,0.313,0,0,0,0,
Oscar Hagberg,1944,1945,Navy,2,18,13,4,1,0.75,0,0,0,0,
Jack Hagerty,1932,1948,Georgetown,14,118,63,45,10,0.576,1,0,1,0,0
Odell Haggins,2017,2019,Florida State,2,6,4,2,0,0.667,2,1,1,0,0.5
A.P. Hall,1908,1908,Wake Forest,1,5,1,4,0,0.2,0,0,0,0,
Arthur Hall,1907,1912,Illinois,6,40,27,10,3,0.713,0,0,0,0,
Cory Hall,2017,2017,Oregon State,1,6,0,6,0,0,0,0,0,0,
Dale Hall,1959,1961,Army,3,29,16,11,2,0.586,0,0,0,0,
E.K. Hall,1892,1893,Illinois,2,22,12,5,5,0.659,0,0,0,0,
Galen Hall,1984,1989,Florida,6,59,40,18,1,0.686,2,1,1,0,0.5
John Hall,1898,1898,Carlisle,1,10,6,4,0,0.6,0,0,0,0,
James Halligan,1901,1903,Massachusetts,3,25,15,8,2,0.64,0,0,0,0,
Curley Hallman,1988,1994,Louisiana State,7,78,39,39,0,0.5,1,1,0,0,1
C.B. Hamilton,1907,1907,Grinnell,1,9,6,3,0,0.667,0,0,0,0,
Thomas Hamilton,1934,1954,Pittsburgh,7,61,28,32,1,0.467,0,0,0,0,
Hamlin,1894,1894,Tufts,1,11,6,5,0,0.545,0,0,0,0,
Charles Hammett,1910,1912,Northwestern,3,18,6,10,2,0.389,0,0,0,0,
Thomas Hammock,2019,2019,Northern Illinois,1,12,5,7,0,0.417,0,0,0,0,
S.M. Hammond,1896,1897,Lehigh,2,17,7,9,1,0.441,0,0,0,0,
T.S. Hammond,1906,1906,Mississippi,1,6,4,2,0,0.667,0,0,0,0,
J.W. Hancock,1927,1937,Northern Colorado,9,69,33,31,5,0.514,0,0,0,0,
Mike Hankwitz,2003,2005,Colorado,2,8,1,7,0,0.125,1,0,1,0,0
