Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Doug Marrone,2009,2012,Syracuse,4,50,25,25,0,0.5,2,2,0,0,1
Robert Marshall,1920,1921,Samford,2,18,6,11,1,0.361,0,0,0,0,
Abe Martin,1953,1966,Texas Christian,14,145,74,64,7,0.534,5,1,3,1,0.3
Ben Martin,1956,1977,Air Force,22,228,102,116,10,0.469,3,0,2,1,0.167
Chuck Martin,2014,2019,Miami (OH),6,75,30,45,0,0.4,2,0,2,0,0
Dan Martin,1904,1906,Mississippi State,2,12,4,7,1,0.375,0,0,0,0,
Doug Martin,2004,2019,New Mexico State,14,167,51,116,0,0.305,1,1,0,0,1
William Martin,1912,1912,North Carolina,1,8,3,4,1,0.438,0,0,0,0,
A.A. Mason,1910,1912,Tulane,3,24,10,13,1,0.438,0,0,0,0,
Derek Mason,2014,2019,Vanderbilt,6,74,27,47,0,0.365,2,0,2,0,0
Frank Mason,1886,1907,Mississippi,2,20,12,8,0,0.6,0,0,0,0,
Glen Mason,1986,2006,Minnesota,21,245,123,121,1,0.504,9,5,4,0,0.556
John Mason,1937,1937,Colorado Mines,1,7,2,5,0,0.286,0,0,0,0,
Tom Mason,1996,2014,Southern Methodist,2,20,2,18,0,0.1,0,0,0,0,
Tony Mason,1973,1979,Arizona,7,79,41,37,1,0.525,1,0,1,0,0
Melvin Massucco,1965,1966,Holy Cross,2,20,8,10,2,0.45,0,0,0,0,
Bernie Masterson,1946,1947,Nebraska,2,18,5,13,0,0.278,0,0,0,0,
Chuck Mather,1954,1957,Kansas,4,40,11,26,3,0.313,0,0,0,0,
Robert Mathews,1922,1925,Idaho,4,32,16,14,2,0.531,0,0,0,0,
Tom Matukewicz,2010,2010,Northern Illinois,1,1,1,0,0,1,1,1,0,0,1
John Maulbetsch,1920,1928,Oklahoma State,9,81,32,41,8,0.444,0,0,0,0,
Gene Mayfield,1971,1976,West Texas A&M,6,65,24,39,2,0.385,0,0,0,0,
John Mayhew,1909,1910,Louisiana State,2,14,7,7,0,0.5,0,0,0,0,
Eugene Maynor,1925,1926,Western State,2,15,3,12,0,0.2,0,0,0,0,
Bill McAllester,1922,1924,Chattanooga,3,27,10,13,4,0.444,0,0,0,0,
Malcolm McBride,1900,1900,Yale,1,12,12,0,0,1,0,0,0,0,
Ron McBride,1990,2002,Utah,13,151,88,63,0,0.583,6,3,3,0,0.5
George McCaa,1912,1913,Lafayette,2,20,8,10,2,0.45,0,0,0,0,
Don McCallister,1935,1937,South Carolina,3,34,13,20,1,0.397,0,0,0,0,
Jake McCandless,1969,1972,Princeton,4,36,18,17,1,0.514,0,0,0,0,
Dan McCarney,1995,2015,North Texas,17,195,78,117,0,0.4,6,3,3,0,0.5
Bill McCartney,1982,1994,Colorado,13,153,93,55,5,0.624,9,3,6,0,0.333
Leon McCarty,1919,1919,Kansas,1,8,3,2,3,0.563,0,0,0,0,
William McCauley,1894,1895,Michigan,2,20,17,2,1,0.875,0,0,0,0,
Howard McChesney,1960,1961,Hardin-Simmons,2,20,0,20,0,0,0,0,0,0,
Dave McClain,1975,1985,Wisconsin,11,124,72,49,3,0.593,3,1,2,0,0.333
Roscoe McClave,1904,1905,Bowdoin,2,18,9,9,0,0.5,0,0,0,0,
Bryan McClendon,2015,2015,Georgia,1,1,1,0,0,1,1,1,0,0,1
Charles McClendon,1962,1979,Louisiana State,18,203,135,61,7,0.682,13,7,6,0,0.538
Andy McCollum,1999,2005,Middle Tennessee State,7,79,34,45,0,0.43,0,0,0,0,
T.T. McConnell,1915,1916,Arkansas,2,15,8,6,1,0.567,0,0,0,0,
James McCormick,1909,1909,Princeton,1,9,6,2,1,0.722,0,0,0,0,
Walter McCornack,1901,1905,Northwestern,5,55,42,8,5,0.809,0,0,0,0,
Frank McCoy,1905,1905,Maine,1,8,4,3,1,0.563,0,0,0,0,
Herb McCracken,1927,1933,Lafayette,3,26,11,13,2,0.462,0,0,0,0,
Rube McCray,1944,1950,William & Mary,7,70,45,22,3,0.664,2,1,1,0,0.5
Elmer McDevitt,1920,1921,Northwestern,2,14,4,10,0,0.286,0,0,0,0,
Harry McDevitt,1917,1917,Colgate,1,6,4,2,0,0.667,0,0,0,0,
E.T. McDonald,1914,1915,Louisiana State,2,17,10,6,1,0.618,0,0,0,0,
Jim McDonald,1963,1963,Tennessee,1,10,5,5,0,0.5,0,0,0,0,
Ned McDonald,1953,1955,Virginia,3,28,5,23,0,0.179,0,0,0,0,
Gene McDowell,1996,1997,Central Florida,2,22,10,12,0,0.455,0,0,0,0,
Jim McElwain,2012,2019,Central Michigan,7,86,52,34,0,0.605,4,2,2,0,0.5
Gene McEver,1936,1944,North Carolina,8,76,22,49,5,0.322,0,0,0,0,
Henry McEver,1942,1945,Virginia Tech,2,18,9,8,1,0.528,0,0,0,0,
John McEwan,1923,1929,Oregon,7,61,38,18,5,0.664,0,0,0,0,
Garrick McGee,2012,2013,Alabama-Birmingham,2,24,5,19,0,0.208,0,0,0,0,
Mike McGee,1970,1978,Duke,9,99,40,55,4,0.424,0,0,0,0,
Henry McGlew,1905,1905,Notre Dame,1,9,5,4,0,0.556,0,0,0,0,
Dan McGugin,1904,1934,Vanderbilt,30,271,197,55,19,0.762,0,0,0,0,
Mont McIntire,1916,1920,West Virginia,4,39,24,11,4,0.667,0,0,0,0,
John McIntosh,1904,1905,Colorado State,2,12,3,8,1,0.292,0,0,0,0,
Mark McIntosh,1933,1936,Northern Arizona,4,30,12,13,5,0.483,0,0,0,0,
McIntyre,1913,1913,West Virginia Wesleyan,1,8,5,3,0,0.625,0,0,0,0,
John McKay,1960,1975,Southern California,16,175,127,40,8,0.749,9,6,3,0,0.667
Ross McKechnie,1933,1934,Mississippi State,2,20,7,12,1,0.375,0,0,0,0,
John McKee,1902,1902,Georgia Tech,1,8,0,6,2,0.125,0,0,0,0,
Allyn McKeen,1939,1948,Mississippi State,9,87,65,19,3,0.764,1,1,0,0,1
Ed McKeever,1944,1947,San Francisco,3,29,20,8,1,0.707,0,0,0,0,
John McKenna,1953,1965,Virginia Military Institute,13,130,62,60,8,0.508,0,0,0,0,
John McKnight,1922,1922,Texas Christian,1,10,2,5,3,0.35,0,0,0,0,
George McLaren,1920,1929,Wyoming,5,42,15,24,3,0.393,0,0,0,0,
DeOrmond McLaughry,1926,1954,Dartmouth,24,218,109,102,7,0.516,0,0,0,0,
John McLaughry,1959,1966,Brown,8,71,17,51,3,0.261,0,0,0,0,
Dutch McLean,1921,1925,Newberry,5,42,20,21,1,0.488,0,0,0,0,
John McLean,1903,1905,Missouri,3,27,9,17,1,0.352,0,0,0,0,
Greg McMackin,2008,2011,Hawaii,4,54,29,25,0,0.537,2,0,2,0,0
Mark McMahon,1903,1903,Oklahoma,1,12,5,4,3,0.542,0,0,0,0,
Johnnie McMillan,1945,1954,Citadel,3,28,6,19,3,0.268,1,0,1,0,0
Lonnie McMillan,1944,1945,Presbyterian,2,16,4,12,0,0.25,0,0,0,0,
Bo McMillin,1928,1947,Indiana,20,173,92,69,12,0.566,0,0,0,0,
Joe McMullen,1969,1970,San Jose State,2,13,3,10,0,0.231,0,0,0,0,
William McMurray,1905,1905,Wyoming,1,7,3,4,0,0.429,0,0,0,0,
Y.C. McNease,1968,1969,Idaho,2,20,7,13,0,0.35,0,0,0,0,
Ruffin McNeill,2009,2015,East Carolina,7,77,43,34,0,0.558,5,2,3,0,0.4
Robert McNeish,1948,1950,Virginia Tech,3,29,1,25,3,0.086,0,0,0,0,
John McVay,1965,1972,Dayton,8,82,37,41,4,0.476,0,0,0,0,
James McWeeney,1899,1899,Notre Dame,1,10,6,3,1,0.65,0,0,0,0,
Mac McWhorter,2001,2001,Georgia Tech,1,1,1,0,0,1,1,1,0,0,1
David McWilliams,1986,1991,Texas,6,68,38,30,0,0.559,3,1,2,0,0.333
Tefler Meade,1922,1934,Western State,9,64,23,38,3,0.383,0,0,0,0,
Jack Meagher,1929,1944,Iowa Pre-Flight,15,158,84,64,10,0.563,2,1,0,1,0.75
Hal Medford,1917,1917,Tulsa,1,9,0,8,1,0.056,0,0,0,0,
Chick Meehan,1920,1937,Manhattan,6,57,41,11,5,0.763,0,0,0,0,
Bill Meek,1951,1973,Utah,17,173,78,88,7,0.471,0,0,0,0,
Harry Mehre,1928,1945,Mississippi,17,165,98,60,7,0.615,0,0,0,0,
George Melinkovich,1949,1950,Utah State,2,21,5,16,0,0.238,0,0,0,0,
Bronco Mendenhall,2005,2019,Virginia,15,194,124,70,0,0.639,14,7,7,0,0.5
Edwin Merrick,1951,1965,Richmond,15,146,53,87,6,0.384,0,0,0,0,
E.S. Merrill,1903,1903,Colorado College,1,9,4,5,0,0.444,0,0,0,0,
Johnny Merriman,1944,1945,Coast Guard,2,17,6,10,1,0.382,0,0,0,0,
John Merritt,1977,1977,Tennessee State,1,10,8,1,1,0.85,0,0,0,0,
Bernard Mertes,1955,1959,Kansas State,5,50,15,34,1,0.31,0,0,0,0,
W.E. Metzenthin,1907,1908,Texas,2,17,11,5,1,0.676,0,0,0,0,
Sol Metzger,1904,1924,South Carolina,11,102,64,33,5,0.652,0,0,0,0,
Dutch Meyer,1934,1952,Texas Christian,19,201,109,79,13,0.575,7,3,4,0,0.429
Ron Meyer,1976,1981,Southern Methodist,6,67,34,32,1,0.515,1,0,1,0,0
Urban Meyer,2001,2018,Ohio State,17,219,187,32,0,0.854,15,12,3,0,0.8
Joe Meyers,1899,1899,Iowa State,1,10,5,4,1,0.55,0,0,0,0,
Bill Michael,1977,1981,Texas-El Paso,5,48,5,43,0,0.104,0,0,0,0,
Al Michaels,1971,1971,North Carolina State,1,11,3,8,0,0.273,0,0,0,0,
Mike Michalske,1942,1946,Iowa State,5,39,18,18,3,0.5,0,0,0,0,
John Michelosen,1955,1965,Pittsburgh,11,112,56,49,7,0.531,2,0,2,0,0
Dennis Michie,1892,1892,Army,1,5,3,1,1,0.7,0,0,0,0,
C.P. Miles,1905,1906,Virginia Tech,2,19,14,3,2,0.789,0,0,0,0,
Les Miles,2001,2019,Kansas,17,209,145,64,0,0.694,15,9,6,0,0.6
Trent Miles,2013,2016,Georgia State,4,47,9,38,0,0.191,1,0,1,0,0
Frank Millburn,1926,1930,Montana,5,43,18,22,3,0.453,0,0,0,0,
F.S. Miller,1929,1932,Wake Forest,4,37,18,15,4,0.541,0,0,0,0,
Gus Miller,1942,1946,West Texas A&M,4,31,16,15,0,0.516,0,0,0,0,
Henry Miller,1930,1932,Temple,3,28,20,5,3,0.768,0,0,0,0,
Jim Miller,1959,1967,Boston College,9,86,52,34,0,0.605,0,0,0,0,
John Miller,1919,1919,Missouri,1,8,5,1,2,0.75,0,0,0,0,
Rip Miller,1931,1933,Navy,3,29,12,15,2,0.448,0,0,0,0,
Floyd Millet,1942,1942,Brigham Young,1,7,2,5,0,0.286,0,0,0,0,
Walter Milligan,1947,1949,Pittsburgh,3,27,13,14,0,0.481,0,0,0,0,
Chuck Mills,1967,1977,Wake Forest,11,117,49,66,2,0.427,0,0,0,0,
Enoch Mills,1908,1909,Baylor,2,16,8,8,0,0.5,0,0,0,0,
Joe Mills,1918,1919,Colorado,2,11,4,6,1,0.409,0,0,0,0,
Tommy Mills,1930,1932,Georgetown,3,29,11,16,2,0.414,0,0,0,0,
Jack Minds,1898,1898,Minnesota,1,9,4,5,0,0.444,0,0,0,0,
Rick Minter,1994,2003,Cincinnati,10,117,53,63,1,0.457,4,1,3,0,0.25
Hal Mitchell,1961,1963,Brigham Young,3,30,8,22,0,0.267,0,0,0,0,
Jack Mitchell,1953,1966,Kansas,14,140,74,59,7,0.554,1,1,0,0,1
Odus Mitchell,1953,1966,North Texas,14,139,69,63,7,0.522,1,0,1,0,0
Gary Moeller,1977,1994,Michigan,8,93,50,37,6,0.57,5,4,1,0,0.8
Joe Moglia,2018,2018,Coastal Carolina,1,12,5,7,0,0.417,0,0,0,0,
Al Molde,1987,1996,Western Michigan,10,111,62,47,2,0.568,1,0,1,0,0
Jack Mollenkopf,1956,1969,Purdue,14,132,84,39,9,0.67,1,1,0,0,1
Charley Molnar,2012,2013,Massachusetts,2,24,2,22,0,0.083,0,0,0,0,
Bill Mondt,1974,1979,New Mexico,6,69,32,36,1,0.471,0,0,0,0,
W.J. Monilaw,1903,1908,Missouri,5,42,28,13,1,0.679,0,0,0,0,
Jeff Monken,2014,2019,Army,6,76,40,36,0,0.526,3,3,0,0,1
Todd Monken,2013,2015,Southern Mississippi,3,38,13,25,0,0.342,1,0,1,0,0
Tommy Mont,1956,1958,Maryland,3,30,11,18,1,0.383,0,0,0,0,
Philip Montgomery,2015,2019,Tulsa,5,62,25,37,0,0.403,2,1,1,0,0.5
Scottie Montgomery,2016,2018,East Carolina,3,35,9,26,0,0.257,0,0,0,0,
Shane Montgomery,2005,2008,Miami (OH),4,48,17,31,0,0.354,0,0,0,0,
Lee Moon,1985,1985,Kansas State,1,9,1,8,0,0.111,0,0,0,0,
Andrew Moore,1945,1948,Chattanooga,4,37,18,19,0,0.486,0,0,0,0,
Bernie Moore,1935,1947,Louisiana State,13,128,83,39,6,0.672,5,1,3,1,0.3
Bud Moore,1975,1978,Kansas,4,45,17,27,1,0.389,1,0,1,0,0
Jerry Moore,1979,1985,Texas Tech,7,77,27,48,2,0.364,0,0,0,0,
Joe Moorhead,2018,2019,Mississippi State,2,26,14,12,0,0.538,2,0,2,0,0
John Moorhead,1907,1907,Pittsburgh,1,10,8,2,0,0.8,0,0,0,0,
Jim Mora,2012,2017,UCLA,6,76,46,30,0,0.605,4,2,2,0,0.5
Charley Moran,1909,1923,Centre,11,99,80,14,5,0.833,3,2,1,0,0.667
J.P. Moran,1943,1943,South Carolina,1,7,5,2,0,0.714,0,0,0,0,
David Morey,1925,1927,Auburn,3,21,10,10,1,0.5,0,0,0,0,
Dell Morgan,1946,1950,Texas Tech,5,55,31,24,0,0.564,2,0,2,0,0
William Morley,1902,1905,Columbia,4,40,26,11,3,0.688,0,0,0,0,
Chad Morris,2015,2019,Arkansas,5,59,18,41,0,0.305,1,0,1,0,0
L.N. Morris,1896,1896,Lehigh,1,7,2,5,0,0.286,0,0,0,0,
Joe Morrison,1973,1988,South Carolina,16,180,101,72,7,0.581,3,0,3,0,0
Ray Morrison,1916,1948,Temple,29,274,142,99,33,0.578,1,0,1,0,0
Guy Morriss,2001,2007,Baylor,7,81,27,54,0,0.333,0,0,0,0,
D.C. Morrow,1908,1925,Washington & Jefferson,8,76,52,19,5,0.717,0,0,0,0,
Don Morton,1985,1989,Wisconsin,5,55,19,36,0,0.345,0,0,0,0,
Slick Morton,1947,1951,Mississippi State,5,45,17,26,2,0.4,0,0,0,0,
Frank Moseley,1951,1960,Virginia Tech,10,100,54,42,4,0.56,0,0,0,0,
Leslie Moser,1916,1917,Wofford,2,18,7,11,0,0.389,0,0,0,0,
Bubs Mosley,1914,1919,Baylor,6,52,30,18,4,0.615,0,0,0,0,
Wendell Mosley,1977,1977,Texas Southern,1,11,6,4,1,0.591,0,0,0,0,
Perry Moss,1959,1968,Marshall,2,20,4,15,1,0.225,0,0,0,0,
Arthur Mosse,1905,1913,Kansas,3,28,19,9,0,0.679,0,0,0,0,
Maurice Moulder,1940,1942,Northern Arizona,3,22,6,16,0,0.273,0,0,0,0,
Wallace Moyle,1891,1897,Brown,7,75,34,38,3,0.473,0,0,0,0,
Darrell Mudra,1967,1975,Florida State,4,43,15,27,1,0.36,1,0,1,0,0
Dan Mullen,2009,2019,Florida,11,141,90,51,0,0.638,9,7,2,0,0.778
Tuffy Mullison,1956,1961,Colorado State,6,60,19,40,1,0.325,0,0,0,0,
John Mumford,2003,2003,Army,1,7,0,7,0,0,0,0,0,0,
Hal Mumme,1997,2008,New Mexico State,8,95,31,64,0,0.326,2,0,2,0,0
George Munger,1938,1953,Pennsylvania,16,134,82,42,10,0.649,0,0,0,0,
Biggie Munn,1946,1953,Michigan State,8,74,58,14,2,0.797,1,1,0,0,1
Billy Murphy,1960,1971,Memphis,12,117,81,35,1,0.697,1,1,0,0,1
Fred Murphy,1901,1926,Kentucky,12,90,42,43,5,0.494,0,0,0,0,
Gene Murphy,1980,1992,Cal State Fullerton,13,149,59,89,1,0.399,1,0,1,0,0
Jack Murphy,1971,1976,Toledo,6,67,35,32,0,0.522,1,1,0,0,1
Tim Murphy,1989,1993,Cincinnati,5,55,17,37,1,0.318,0,0,0,0,
Bill Murray,1951,1965,Duke,15,153,93,51,9,0.637,3,2,1,0,0.667
Frank Murray,1927,1949,Virginia,23,203,111,82,10,0.571,1,0,1,0,0
Will Muschamp,2011,2019,South Carolina,8,100,54,46,0,0.54,5,3,3,0,0.5
Jack Musick,1966,1974,Cornell,9,81,45,33,3,0.574,0,0,0,0,
Steve Musseau,1965,1967,Idaho,3,30,13,17,0,0.433,0,0,0,0,
A.T. Myers,1909,1909,Wake Forest,1,6,2,4,0,0.333,0,0,0,0,
Denny Myers,1941,1950,Boston College,7,66,35,27,4,0.561,1,0,1,0,0
Jim Myers,1957,1961,Texas A&M,5,50,16,29,5,0.37,0,0,0,0,
Moose Myers,1953,1960,Pacific,8,77,39,33,5,0.539,0,0,0,0,
Hook Mylin,1934,1949,New York University,7,64,27,33,4,0.453,1,1,0,0,1
Walt Nadzak,1979,1979,Connecticut,1,11,3,6,2,0.364,0,0,0,0,
Chris Naeole,2015,2015,Hawaii,1,4,1,3,0,0.25,0,0,0,0,
Ray Nagel,1958,1970,Iowa,13,132,58,71,3,0.451,1,1,0,0,1
Billy Napier,2018,2019,Louisiana,2,28,18,10,0,0.643,2,1,1,0,0.5
Pat Narduzzi,2015,2019,Pittsburgh,5,65,36,29,0,0.554,4,1,3,0,0.25
Bob Naso,1980,1981,Columbia,2,20,2,18,0,0.1,0,0,0,0,
Frank Navarro,1968,1981,Princeton,10,92,34,53,5,0.397,0,0,0,0,
Greasy Neale,1921,1933,West Virginia,11,107,56,41,10,0.57,1,0,0,1,0.5
O.E. Neale,1930,1931,Virginia Tech,2,18,8,7,3,0.528,0,0,0,0,
Jess Neely,1931,1966,Rice,36,363,187,159,17,0.539,7,4,3,0,0.571
John Neff,1909,1911,South Carolina,3,23,12,9,2,0.565,0,0,0,0,
Don Nehlen,1968,2000,West Virginia,30,338,202,128,8,0.609,13,4,9,0,0.308
Fred Neilson,1908,1911,Georgetown,3,27,21,3,3,0.833,0,0,0,0,
Harry Nelly,1908,1910,Army,3,22,15,5,2,0.727,0,0,0,0,
Corky Nelson,1982,1982,North Texas,1,11,2,9,0,0.182,0,0,0,0,
Spike Nelson,1938,1941,Yale,2,18,5,13,0,0.278,0,0,0,0,
Mike Neu,2016,2019,Ball State,4,48,15,33,0,0.313,0,0,0,0,
Rick Neuheisel,1995,2011,UCLA,12,145,87,58,0,0.6,8,5,3,0,0.625
Newell,1895,1896,Tufts,2,22,10,11,1,0.477,0,0,0,0,
Garish Newell,1901,1901,Trinity (CT),1,8,1,6,1,0.188,0,0,0,0,
Marshall Newell,1894,1895,Cornell,2,19,9,8,2,0.526,0,0,0,0,
William Newman,1909,1909,Georgetown,1,6,3,2,1,0.583,0,0,0,0,
Doc Newton,1940,1944,South Carolina,2,18,6,10,2,0.389,0,0,0,0,
Samuel Newton,1896,1911,Lehigh,11,128,76,50,2,0.602,0,0,0,0,
Bob Neyland,1926,1952,Tennessee,21,216,173,31,12,0.829,7,2,5,0,0.286
John Nicholson,1921,1922,Sewanee,2,16,9,6,1,0.594,0,0,0,0,
Windy Nicklaus,1946,1946,West Texas A&M,1,3,2,1,0,0.667,0,0,0,0,
Jerry Nissen,1917,1917,Montana,1,5,1,4,0,0.2,0,0,0,0,
Ken Niumatalolo,2007,2019,Navy,13,158,98,60,0,0.62,11,6,5,0,0.545
Charles Noble,1916,1922,Mississippi State,2,16,7,7,2,0.5,0,0,0,0,
Dennis Nolan,1902,1902,Army,1,8,6,1,1,0.813,0,0,0,0,
Lonnie Noojin,1912,1912,Samford,1,7,1,6,0,0.143,0,0,0,0,
Gary Nord,2000,2003,Texas-El Paso,4,48,14,34,0,0.292,1,0,1,0,0
Nelson Norgren,1914,1917,Utah,4,24,13,11,0,0.542,0,0,0,0,
Homer Norton,1930,1947,Texas A&M,18,185,111,59,15,0.641,5,2,2,1,0.5
W.G. Norton,1894,1894,Brown,1,15,10,5,0,0.667,0,0,0,0,
Jay Norvell,2017,2019,Nevada,3,38,18,20,0,0.474,2,1,1,0,0.5
Mike Norvell,2016,2019,Memphis,4,54,38,16,0,0.704,4,0,4,0,0
Joe Novak,1996,2007,Northern Illinois,12,139,63,76,0,0.453,2,1,1,0,0.5
Paul Noyes,1893,1893,Northwestern,1,10,2,5,3,0.35,0,0,0,0,
Thomas Nugent,1949,1965,Maryland,16,162,84,75,3,0.528,2,0,2,0,0
Wayne Nunnely,1986,1989,Nevada-Las Vegas,4,44,19,25,0,0.432,0,0,0,0,
Houston Nutt,1997,2011,Mississippi,15,184,103,81,0,0.56,9,4,5,0,0.444
Tommy O'Boyle,1962,1965,Tulane,4,40,6,33,1,0.163,0,0,0,0,
Bill O'Brien,2012,2013,Penn State,2,24,15,9,0,0.625,0,0,0,0,
Harry O'Brien,1916,1921,Citadel,5,33,14,15,4,0.485,0,0,0,0,
Tom O'Brien,1997,2012,North Carolina State,16,195,115,80,0,0.59,10,8,2,0,0.8
Mike O'Cain,1993,1999,North Carolina State,7,81,41,40,0,0.506,3,1,2,0,0.333
John O'Connor,1904,1904,Virginia Tech,1,8,5,3,0,0.625,0,0,0,0,
Patrick O'Dea,1900,1902,Missouri,3,28,19,7,2,0.714,0,0,0,0,
Cleo O'Donnell,1916,1917,Purdue,2,14,5,8,1,0.393,0,0,0,0,
George O'Hearn,1906,1906,Massachusetts,1,9,1,7,1,0.167,0,0,0,0,
George O'Leary,1994,2015,Central Florida,20,234,133,101,0,0.568,11,5,6,0,0.455
Buck O'Neill,1905,1922,Columbia,3,26,12,14,0,0.462,0,0,0,0,
Bunny Oakes,1931,1946,Wyoming,12,100,39,57,4,0.41,1,0,1,0,0
Eugene Oberst,1929,1930,Washington & Lee,2,19,6,11,2,0.368,0,0,0,0,
Howard Odell,1942,1952,Washington,11,102,58,40,4,0.588,0,0,0,0,
Robert Odell,1965,1970,Pennsylvania,6,54,24,29,1,0.454,0,0,0,0,
William Odlin,1893,1893,Brown,1,9,6,3,0,0.667,0,0,0,0,
Barry Odom,2016,2019,Missouri,4,50,25,25,0,0.5,2,0,2,0,0
Dick Offenhamer,1962,1965,Buffalo,4,37,20,13,4,0.595,0,0,0,0,
Harold Ofstie,1924,1924,Centre,1,7,5,1,1,0.786,0,0,0,0,
Walter Okeson,1900,1900,Lehigh,1,11,5,6,0,0.455,0,0,0,0,
H.B. Olcott,1902,1903,North Carolina,2,18,11,4,3,0.694,0,0,0,0,
Herman Olcott,1915,1917,Kansas,3,24,16,7,1,0.688,0,0,0,0,
Jordan Olivar,1943,1962,Yale,20,182,111,63,8,0.632,2,1,1,0,0.5
Bill Oliver,1980,1998,Auburn,3,27,17,9,1,0.648,0,0,0,0,
Tex Oliver,1933,1946,Oregon,11,101,55,39,7,0.579,0,0,0,0,
Al Onofrio,1971,1977,Missouri,7,79,38,41,0,0.481,2,1,1,0,0.5
Bennie Oosterbaan,1948,1958,Michigan,11,100,63,33,4,0.65,1,1,0,0,1
Ed Orgeron,2005,2019,Louisiana State,8,92,56,36,0,0.609,5,5,1,0,0.833
Tom Osborne,1973,1997,Nebraska,25,307,255,49,3,0.836,25,12,13,0,0.48
William Osmanski,1948,1949,Holy Cross,2,20,6,14,0,0.3,0,0,0,0,
Bob Otolski,1981,1981,Illinois State,1,10,3,7,0,0.3,0,0,0,0,
John Outland,1901,1905,Washburn,2,20,10,8,2,0.55,0,0,0,0,
Bennie Owen,1905,1926,Oklahoma,17,150,93,45,12,0.66,0,0,0,0,
Bob Owens,1979,1979,Arizona State,1,7,3,4,0,0.429,0,0,0,0,
Jim Owens,1957,1974,Washington,18,187,99,82,6,0.545,3,2,1,0,0.667
Lee Owens,1995,2003,Akron,9,101,40,61,0,0.396,0,0,0,0,
Jack Owsley,1905,1925,Navy,2,18,15,2,1,0.861,0,0,0,0,
Bill Pace,1967,1972,Vanderbilt,6,63,22,38,3,0.373,0,0,0,0,
Bob Padilla,1978,1979,Fresno State,2,22,7,15,0,0.318,0,0,0,0,
John Page,1905,1905,Beloit,1,10,3,6,1,0.35,0,0,0,0,
Pat Page,1926,1930,Indiana,5,41,14,24,3,0.378,0,0,0,0,
Norman Paine,1917,1920,Iowa State,3,20,12,7,1,0.625,0,0,0,0,
Skip Palrang,1940,1942,Creighton,3,29,16,11,2,0.586,0,0,0,0,
Fred Pancoast,1972,1978,Vanderbilt,7,77,33,43,1,0.435,0,0,0,0,
Bill Parcells,1978,1978,Air Force,1,11,3,8,0,0.273,0,0,0,0,
Jack Pardee,1987,1989,Houston,3,34,22,11,1,0.662,1,0,1,0,0
Gerad Parker,2016,2016,Purdue,1,6,0,6,0,0,0,0,0,0,
Red Parker,1966,1976,Clemson,11,117,56,59,2,0.487,0,0,0,0,
Arthur Parmalee,1930,1932,Army,3,32,25,5,2,0.813,0,0,0,0,
Joe Parrish,1914,1914,Newberry,1,9,5,3,1,0.611,0,0,0,0,
Stan Parrish,1986,2013,Eastern Michigan,7,61,9,51,1,0.156,1,0,1,0,0
Ara Parseghian,1956,1974,Notre Dame,19,188,131,52,5,0.71,5,3,2,0,0.6
Poss Parsons,1917,1921,Colorado College,4,30,18,10,2,0.633,0,0,0,0,
Charlie Partridge,2014,2016,Florida Atlantic,3,36,9,27,0,0.25,0,0,0,0,
Paul Pasqualoni,1991,2013,Connecticut,17,195,117,77,1,0.603,9,6,3,0,0.667
Joe Paterno,1966,2011,Penn State,46,548,409,136,3,0.749,37,24,12,1,0.662
Gary Patterson,2000,2019,Texas Christian,20,242,172,70,0,0.711,17,11,6,0,0.647
Keith Patterson,2011,2011,Pittsburgh,1,1,0,1,0,0,1,0,1,0,0
Pat Patterson,1979,1979,Louisiana Tech,1,1,1,0,0,1,0,0,0,0,
James Patton,1953,1954,New Mexico State,2,18,2,16,0,0.111,0,0,0,0,
Norman Payne,1913,1913,Baylor,1,10,3,4,3,0.45,0,0,0,0,
Joe Peace,1988,1995,Louisiana Tech,8,88,40,44,4,0.477,1,0,0,1,0.5
J.C. Pearson,1901,1902,Tufts,2,24,10,12,2,0.458,0,0,0,0,
Francis Peay,1986,1991,Northwestern,6,66,13,51,2,0.212,0,0,0,0,
Mike Pecarovich,1931,1939,Loyola Marymount,9,80,33,41,6,0.45,0,0,0,0,
Dean Pees,1998,2003,Kent State,6,68,17,51,0,0.25,0,0,0,0,
Bo Pelini,2003,2014,Nebraska,8,94,67,27,0,0.713,7,4,3,0,0.571
Carl Pelini,2012,2018,Bowling Green State,3,25,7,18,0,0.28,0,0,0,0,
Charley Pell,1977,1984,Florida,8,85,51,30,4,0.624,5,2,3,0,0.4
Chris Pella,1983,1985,Utah State,3,33,9,24,0,0.273,0,0,0,0,
Wilder Penfield,1914,1914,Princeton,1,8,5,2,1,0.688,0,0,0,0,
Ray Perkins,1983,1992,Arkansas State,5,59,34,24,1,0.585,3,3,0,0,1
George Perles,1983,1994,Michigan State,12,139,73,62,4,0.54,7,3,4,0,0.429
Doyt Perry,1962,1964,Bowling Green State,3,29,24,4,1,0.845,0,0,0,0,
Chris Petersen,2006,2019,Washington,14,185,147,38,0,0.795,13,7,6,0,0.538
Bill Peterson,1960,1971,Rice,12,126,65,49,12,0.563,4,1,2,1,0.375
John Peterson,1951,1952,Northern Arizona,2,15,4,11,0,0.267,0,0,0,0,
Bobby Petrino,2003,2018,Western Kentucky,14,175,119,56,0,0.68,11,5,6,0,0.455
