,School,Conference,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State,HomeTeams
61,Nebraska,Big Ten,Scott Frost,5000000.0,696.0,4.0,50.0,28.0,22.0,0.0,0.56,Nebraska,Memorial Stadium,91585,Lincoln,Nebraska,Nebraska Cornhuskers
62,New Mexico,Mt. West,Bob Davie,823740.0,469.0,13.0,159.0,70.0,89.0,0.0,0.44,New Mexico,Dreamstyle Stadium,39224,Albuquerque,New Mexico,New Mexico Lobos and the New Mexico Bowl game
63,New Mexico State,Ind.,Doug Martin,419640.0,1231.0,14.0,167.0,51.0,116.0,0.0,0.305,New Mexico State,Aggie Memorial Stadium,30343,Las Cruces,New Mexico,New Mexico State Aggies
64,North Carolina,ACC,Larry Fedora,2575000.0,639.0,11.0,141.0,79.0,62.0,0.0,0.56,North Carolina,Kenan Memorial Stadium,51000,Chapel Hill,North Carolina,North Carolina Tar Heels
65,Northern Illinois,MAC,Rod Carey,633460.0,283.0,8.0,95.0,60.0,35.0,0.0,0.632,Temple,Huskie Stadium,30998,DeKalb,Illinois,Northern Illinois Huskies
66,Northwestern,Big Ten,Pat Fitzgerald,3619775.0,664.0,14.0,178.0,99.0,79.0,0.0,0.556,Northwestern,Ryan Field,47130,Evanston,Illinois,Northwestern Wildcats
67,Notre Dame,Ind.,Brian Kelly,2129638.0,1041.0,16.0,204.0,145.0,59.0,0.0,0.711,Notre Dame,Notre Dame Stadium,77622,South Bend,Indiana,Notre Dame Fighting Irish
68,Ohio State,Big Ten,Urban Meyer,7600000.0,1332.0,17.0,219.0,187.0,32.0,0.0,0.8540000000000001,Ohio State,Ohio Stadium,110045,Columbus,Ohio,Ohio State Buckeyes
69,Oklahoma,Big 12,Lincoln Riley,4800000.0,1640.0,3.0,42.0,36.0,6.0,0.0,0.857,Oklahoma,Gaylord Family Oklahoma Memorial Stadium,88308,Norman,Oklahoma,Oklahoma Sooners
70,Oklahoma State,Big 12,Mike Gundy,5000000.0,782.0,15.0,193.0,129.0,64.0,0.0,0.6679999999999999,Oklahoma State,Boone Pickens Stadium,60218,Stillwater,Oklahoma,Oklahoma State Cowboys
71,Oregon,Pac-12,Mario Cristobal,2500000.0,421.0,9.0,102.0,48.0,54.0,0.0,0.47100000000000003,Oregon,Autzen Stadium,54000,Eugene,Oregon,Oregon Ducks
72,Oregon State,Pac-12,Jonathan Smith,1900008.0,1806.0,2.0,24.0,7.0,17.0,0.0,0.292,Oregon State,Reser Stadium,45674,Corvallis,Oregon,Oregon State Beavers
73,Penn State,Big Ten,James Franklin,4800000.0,685.0,9.0,118.0,80.0,38.0,0.0,0.6779999999999999,Penn State,Beaver Stadium,110889,University Park,Pennsylvania,Penn State Nittany Lions
74,Pittsburgh,ACC,Pat Narduzzi,3017718.0,1428.0,5.0,65.0,36.0,29.0,0.0,0.5539999999999999,Pittsburgh,Heinz Field,68400,Pittsburgh,Pennsylvania,"Pittsburgh Steelers, Pittsburgh Panthers"
75,Purdue,Big Ten,Jeff Brohm,3800000.0,207.0,6.0,78.0,47.0,31.0,0.0,0.603,Purdue,Ross–Ade Stadium,57236,West Lafayette,Indiana,Purdue Boilermakers
76,Rutgers,Big Ten,Chris Ash,2200000.0,55.0,4.0,40.0,8.0,32.0,0.0,0.2,Rutgers,High Point Solutions Stadium,52454,Piscataway,New Jersey,Rutgers Scarlet Knights
77,San Diego State,Mt. West,Rocky Long,873576.0,1183.0,20.0,253.0,146.0,107.0,0.0,0.5770000000000001,San Diego State,SDCCU Stadium,70561,San Diego,California,"San Diego State Aztecs, the Holiday Bowl game, and the Poinsettia Bowl game"
